epoch,train_loss
0.0,129.13282775878906
1.0,3.276434421539306
2.0,3.2090513706207275
3.0,3.2075681686401367
4.0,3.2376997470855717
5.0,3.180160522460937
6.0,2.8461601734161377
7.0,2.607354164123535
8.0,2.3039586544036865
9.0,2.087091445922852
10.0,2.033509969711304
11.0,2.200701713562012
12.0,1.688140869140625
13.0,1.799604415893555
14.0,1.6169021129608154
15.0,1.4258302450180054
16.0,1.552454948425293
17.0,1.5157053470611572
18.0,1.3937697410583496
19.0,1.4327090978622437
20.0,1.4112578630447388
21.0,1.4047260284423828
22.0,1.352283239364624
23.0,1.2039154767990112
24.0,1.1224205493927002
25.0,1.3233336210250854
26.0,1.2605676651000977
27.0,1.1240882873535156
28.0,1.0977009534835815
29.0,1.2620569467544556
30.0,0.9893549084663392
31.0,1.2986462116241455
32.0,1.105398178100586
33.0,1.048148512840271
34.0,1.0861164331436155
35.0,0.9953924417495728
36.0,1.0193657875061035
37.0,0.9303619861602784
38.0,1.116748571395874
39.0,0.9853612780570984
