epoch,train/loss
1,4.817934513092041
2,3.7968764305114746
3,3.311668872833252
4,3.2341513633728027
5,3.2396349906921387
6,3.0709028244018555
7,3.1256489753723145
8,3.129748821258545
9,2.949706554412842
10,2.899847984313965
11,2.667186737060547
12,2.5223464965820312
13,2.199758768081665
14,2.0718438625335693
15,1.790935516357422
16,1.878891944885254
17,1.4574079513549805
18,1.3001524209976196
19,1.4434599876403809
20,1.1025182008743286
21,1.0226354598999023
22,1.054086446762085
23,0.996667504310608
24,0.9705475568771362
25,0.82356858253479
26,0.7494295239448547
27,0.7173234224319458
28,0.8147927522659302
29,0.8206642270088196
30,0.7265197038650513
31,0.7222265601158142
32,0.6755837202072144
33,0.6448260545730591
34,0.6430920958518982
35,0.5833791494369507
36,0.6313587427139282
37,0.4968011081218719
38,0.4571506381034851
39,0.4738524258136749
